title, old_name, hint, fen, moves
2步杀, 2步杀774, 双马胜车马炮双士双象, 3akab2/1r2n4/1c2b4/1N1N5/9/9/9/9/9/4K4 w, b6d7 b8d8 d6f7
2步杀, 2步杀775, 双马胜车马双炮双士双象, 2baka3/1c2nc3/4b4/3Nr2N1/9/9/9/9/9/3K5 w, d6c8 f8c8 h6f7
2步杀, 2步杀776, 双马胜车马双炮双士双象, 3akab2/4n4/1c2b2c1/1N5N1/9/9/7r1/9/9/4K4 w, b6d7 h7d7 h6g8
2步杀, 2步杀777, 双马胜车双马卒双士双象, 2bnkab2/4a4/9/4nN1N1/9/7r1/9/9/5p3/4K4 w, h6g8 e6f8 f6d7
2步杀, 2步杀778, 双马胜车双马炮双士象, 3aknb2/4a4/1cn6/1Nr6/4N4/9/9/9/9/4K4 w, e5f7 b7f7 b6c8
2步杀, 2步杀779, 双马胜双车双士双象, 2bak4/4a2r1/4b4/5N1N1/9/9/9/9/4r4/5K3 w, f6g8 h8g8 h6g8
3步杀, 3步杀1453, 马胜象, 2b6/3k5/9/9/9/3N5/9/9/9/4K4 w, d4c6 d8d7 c6b8 d7d8 e0e1
3步杀, 3步杀1454, 马双士象胜马炮双士双象, 2baka3/2c1n4/b8/9/9/N8/9/5A3/9/4KAB2 w, a4b6 c8d8 g0i2 d8d3 b6d7
3步杀, 3步杀1701, 双马双士双象胜马炮双士双象, 4kab2/1N2a4/N3b4/9/9/9/4c1n2/4B4/4A4/2BA1K3 w, a7c8 e9d9 c8e7 d9e9 e7g8
3步杀, 3步杀1702, 双马士胜马炮卒象, 5k3/6N2/3Nb4/9/9/9/1n7/5p3/c3K4/3A5 w, g8e7 f9f8 e7g6 f8f9 g6h8
3步杀, 3步杀1703, 双马双象胜马炮卒双士双象, 2b1ka3/1N2a4/4b4/1N7/9/9/9/4B2n1/4p4/2B2K2c w, b6c8 e9d9 c8e7 d9e9 e7g8
3步杀, 3步杀1704, 双马胜双马, 3n1k3/4n4/5N3/6N2/9/9/9/9/9/4K4 w, g6h8 f9f8 f7d8 e8d6 h8g6
3步杀, 3步杀1705, 双马胜双马双士双象, 3a1a3/5k3/2N1b4/9/4N1b2/n8/9/5n3/9/3K5 w, e5g6 f8f7 c7d9 a4c3 g6h8
3步杀, 3步杀1706, 双马双士双象胜双马双士双象, 2bak4/4a2N1/4b4/7N1/9/9/1n7/4B1n2/4A4/2BAK4 w, h6g8 e9f9 g8e7 f9e9 e7c8
3步杀, 3步杀1707, 双马双士双象胜双马卒双士双象, 4kab2/1N2a4/4b4/3N5/6n2/6B2/1n7/4B4/4Ap3/3AK4 w, d6c8 e9d9 c8e7 d9e9 e7g8
3步杀, 3步杀1708, 双马胜车双卒双士象, 2b2a3/3ka4/9/9/4N4/3N5/9/9/3p1pr2/4K4 w, d4c6 d8d9 c6b8 d9e9 e5d7
3步杀, 3步杀1709, 双马胜车双卒双士双象, 2bak4/4a2N1/4b4/5N3/9/9/9/3p5/r3p4/3K5 w, f6g8 e9f9 g8e7 f9e9 e7c8
3步杀, 3步杀1710, 双马胜车炮三卒双士双象, 4rkb1c/4a3N/4ba3/6N2/9/9/9/9/2p1p4/3K1p3 w, i8g7 f9f8 g7i6 f8f9 i6h8
4步杀, 4步杀2998, 马胜将, 4k4/4N4/9/9/9/9/9/9/4K4/9 w, e1e2 e9d9 e8c7 d9d8 c7b9 d8d9 e2e1
4步杀, 4步杀3175, 双马胜马双卒双士双象, 3k1ab2/4a4/N3b4/2N6/9/9/9/6n2/3p5/2p1K4 w, c6b8 d9e9 a7c8 e9d9 c8e7 d9e9 e7g8
4步杀, 4步杀3176, 双马士胜车卒双士双象, 2bk1ab2/4a4/N2N5/9/9/9/9/9/5p3/4KA1r1 w, d7b8 d9e9 a7c8 e9d9 c8d6 d9e9 d6f7
4步杀, 4步杀3177, 双马胜车双卒双士双象, 2ba1k3/4a4/4b4/5N2N/9/9/9/3p5/r3p4/3K5 w, i6h8 f9e9 f6g8 e9f9 g8e7 f9e9 e7c8
4步杀, 4步杀3178, 双马胜车三卒双士双象, 2ba1k3/4a4/4bN3/5N3/9/9/9/4p4/1r1p1p3/4K4 w, f7h8 f9e9 f6g8 e9f9 g8e7 f9e9 e7c8
5步杀, 5步杀4614, 双马胜马双卒双士象, 5ab2/3ka4/N7n/9/N8/9/9/9/3p1p3/4K4 w, a5c6 d8d9 c6b8 d9e9 a7c8 e9d9 c8d6 d9e9 d6f7
5步杀, 5步杀4615, 双马双士双象胜马炮卒双士双象, 2ba5/4ak3/4b3N/9/9/5N3/4c4/4B4/1n1pA4/4KAB2 w, f4g6 f8f9 g6h8 f9e9 i7g8 e9f9 g8e7 f9e9 e7c8
5步杀, 5步杀4616, 双马胜双马双卒双士双象, 2bak4/4a2N1/n3b4/7N1/9/9/9/2n6/3p1p3/4K4 w, h6g8 e9f9 g8e7 f9e9 e7g8 e9f9 g8f6 f9e9 f6d7
5步杀, 5步杀4617, 双马胜车双卒士象, 5a3/8N/5k3/9/6b2/6N2/9/9/2rp1p3/4K4 w, i8g9 f7f8 g9h7 f8f7 h7g5 f7f8 g5h7 f8f7 g4h6
6步杀, 6步杀5835, 马胜士, 3k1a3/9/9/9/7N1/9/9/9/9/4K4 w, h5g7 f9e8 g7e8 d9e9 e0e1 e9d9 e8c7 d9d8 c7b9 d8d9 e1e2
6步杀, 6步杀5836, 马胜士, 5k3/9/5a3/9/3N5/9/9/9/9/4K4 w, d5f6 f7e8 f6e8 f9e9 e0e1 e9d9 e8c7 d9d8 c7b9 d8d9 e1e2
6步杀, 6步杀5837, 马胜卒, 3k5/9/9/p8/9/9/9/1N7/9/4K4 w, b2a4 a6a5 a4c5 d9d8 c5b7 d8d7 b7a5 d7d8 a5b7 d8d7 e0e1
6步杀, 6步杀5838, 马胜卒, 5k3/9/9/8p/9/9/9/7N1/9/4K4 w, h2i4 i6i5 i4g5 f9f8 g5h7 f8f7 h7i5 f7f8 i5h7 f8f7 e0e1
6步杀, 6步杀5839, 马双士双象胜马炮三卒双士双象, 2baka3/4n4/b8/2p3p2/1c5N1/1p7/9/8B/9/3AKAB2 w, h5f6 b5b8 f6d7 b8d8 d7b6 b4a4 b6c8 a4b4 c8d6 b4b3 d6f7
6步杀, 6步杀5940, 双马士双象胜双马卒双士双象, 2ba1k3/4a4/n3b3N/6N2/9/9/9/B5n2/5p3/3AK1B2 w, g6h8 f9e9 i7g8 e9f9 g8e7 f9e9 e7g8 e9f9 g8f6 f9e9 f6d7
6步杀, 6步杀5941, 双马胜车卒双士双象, 3k1ab2/4a4/N3b4/2N6/9/9/9/9/5pr2/4K4 w, c6b8 d9e9 a7c8 e9d9 c8e7 d9e9 e7c8 e9d9 c8d6 d9e9 d6f7
6步杀, 6步杀5942, 双马士象胜车卒双士双象, 2ba1k3/4a4/4b4/5NN2/9/9/9/9/2r2p3/3AK1B2 w, g6h8 f9e9 f6g8 e9f9 g8e7 f9e9 e7g8 e9f9 g8f6 f9e9 f6d7
6步杀, 6步杀5943, 双马士象胜车卒双士双象, 3a1kb2/4a4/4b4/5NN2/9/9/9/9/2r2p3/3AK1B2 w, g6h8 f9e9 f6g8 e9f9 g8e7 f9e9 e7g8 e9f9 g8f6 f9e9 f6d7
6步杀, 6步杀5944, 双马胜车马双士双象, 3a1k3/4a4/4b4/5NN2/6b2/9/9/6n2/2r6/4K4 w, g6h8 f9e9 f6g8 e9f9 g8e7 f9e9 e7g8 e9f9 g8f6 f9e9 f6d7
7步杀, 7步杀7001, 双马胜马双卒双士双象, 5ab2/3ka4/N3b3n/9/N8/9/9/9/3p1p3/4K4 w, a5c6 d8d9 c6b8 d9e9 a7c8 e9d9 c8e7 d9e9 e7c8 e9d9 c8d6 d9e9 d6f7
8步杀, 10步杀7652, 马胜卒, 9/9/1N3k3/6p2/9/9/9/9/9/4K4 w, b7d6 f7f8 d6e8 g6g5 e8f6 f8f7 e0e1 f7f8 f6h7 f8f9 h7g5 f9f8 g5h7 f8f7 e1e2
8步杀, 8步杀7650, 马胜卒, 3k5/9/9/2p6/9/4N4/9/9/9/4K4 w, e4d6 d9d8 d6f7 d8d7 e0e1 c6c5 f7d6 d7d8 d6b7 d8d9 b7c5 d9d8 c5b7 d8d7 e1e2
8步杀, 8步杀7651, 马胜卒, 5k3/9/9/6p2/9/4N4/9/9/9/4K4 w, e4f6 f9f8 f6d7 f8f7 e0e1 g6g5 d7f6 f7f8 f6h7 f8f9 h7g5 f9f8 g5h7 f8f7 e1e2
8步杀, 9步杀7684, 双马士象胜马炮三卒双士象, 3a5/2N2n3/2Na1k3/9/2b6/6B2/9/5A1p1/p4p3/4K3c w, c8e9 d9e8 e9g8 i0h0 c7b9 f1f0 e0e1 a1b1 b9d8 b1c1 d8b7 c1d1 e1e2 c5e7 b7d6
9步杀, 10步杀8161, 马胜卒, 3k5/9/9/4p4/9/8N/9/9/9/4K4 w, i4g5 e6e5 e0e1 d9d8 g5f7 d8e8 f7e5 e8e7 e1d1 e7e8 e5g4 e8e7 g4f6 e7f7 f6h7 f7e7 h7g9
9步杀, 10步杀8162, 马胜卒, 3k5/9/9/4p4/9/8N/9/9/9/5K3 w, i4g5 e6e5 f0e0 d9d8 g5f7 d8d7 f7e5 d7e7 e0d0 e7e8 e5g4 e8e7 g4f6 e7f7 f6h7 f7e7 h7g9
9步杀, 10步杀8163, 马胜卒, 5k3/9/9/4p4/9/1N7/9/9/9/4K4 w, b4d3 f9f8 d3c5 e6e5 c5d7 f8f7 d7e5 f7e7 e0d0 e7e8 e5g4 e8e7 g4f6 e7f7 f6h7 f7e7 h7g9
9步杀, 10步杀8164, 马胜卒, 5k3/9/9/4p4/9/N8/9/9/9/3K5 w, a4c5 e6e5 d0e0 f9f8 c5d7 f8f7 d7e5 f7e7 e0d0 e7e8 e5g4 e8e7 g4f6 e7f7 f6h7 f7e7 h7g9
9步杀, 9步杀7646, 马胜象, 9/4k4/4b4/8N/9/9/9/9/9/4K4 w, i6h8 e8e9 h8g6 e9e8 g6e7 e8e9 e0d0 e9e8 e7f5 e8f8 d0e0 f8f9 f5g7 f9f8 g7h9 f8f9 e0e1
9步杀, 9步杀7647, 马胜象, 9/4k4/4b4/N8/9/9/9/9/9/4K4 w, a6b8 e8e9 b8c6 e9e8 c6e7 e8e9 e0d0 e9e8 e7f5 e8f8 d0e0 f8f9 f5g7 f9f8 g7h9 f8f9 e0e1
