11步杀9146,2P5n/5k3/1P6N/3R5/9/9/1r7/3p5/4p4/3K5 w
11步杀9147,6R2/4k2P1/2nN5/5P3/9/9/7r1/5p3/4p4/5K3 w
11步杀9148,5a3/3P3P1/3k2nc1/2R6/3N5/9/8r/5p3/4p4/5K3 w
11步杀9149,3k1a3/1Pn6/3P1a3/4Rc3/2N6/9/9/1r1p5/4p4/3K5 w
11步杀9150,6N1c/1nr3Pc1/4k4/3P1R3/9/9/9/5p3/4p4/5K1n1 w
11步杀9151,3R5/2N1k1P2/9/3r5/3P5/9/9/9/2p1p4/1p1Kc2r1 w
11步杀9152,3R1a1c1/3Nk1P2/2c3P2/9/9/9/1r7/9/r3p4/3K5 w
11步杀9153,9/4k4/5P3/3R1P3/5P3/3N5/9/3p5/1r2p4/3K5 w
11步杀9154,2P6/3k5/1Nc3R2/5P3/3P5/9/r8/3p5/4p4/3K5 w
11步杀9155,6P2/9/2P2k1P1/2c1R4/9/9/3N5/3p5/1r2p4/3K5 w
11步杀9156,2P1k1N2/1P7/6c2/3P1R3/2b6/9/9/3pp4/4r4/3K5 w
11步杀9157,2ba5/1c2k4/1PNP3P1/9/5R3/9/7r1/5p3/4p4/5K3 w
11步杀9158,5R3/4k4/1N4P2/4PP3/3c5/9/6r2/3n5/4p4/5K3 w
11步杀9159,5k3/1PP3P2/5c3/5N3/4R4/9/3c5/r2p5/3np4/3K5 w
11步杀9160,9/1P2k4/5P2b/3R5/4P1N2/4n4/9/3n5/3r1p3/4K4 w
11步杀9161,9/9/3abk3/2N2c3/3P1PpR1/4Pn1p1/1r2rn1p1/2pp1K2c/9/9 w
11步杀9162,5k3/2N3R2/9/3P1PP2/4P4/9/9/3p5/4p4/3K1c1r1 w
11步杀9163,9/6P2/3k1PPN1/6R2/3P3n1/9/3c3r1/5p3/4p4/5K3 w
11步杀9164,2P5N/3n3P1/4k1P2/5P3/5R3/5p3/5r3/5r3/5n3/5K3 w
11步杀9165,3N2P1r/2PParc2/5k3/7n1/3P1P3/2n6/9/3p5/4p4/3K1R3 w
11步杀9166,3k5/5c3/3P1PP2/4R4/2N2Pb1P/2B1pn2r/3p1p1r1/4pnp2/5K3/9 w
11步杀9263,9/9/3k2c2/3N2P2/3N2p2/3ppRp2/3r2r2/3n2n2/3K2c2/9 w
