name,type_red,type_black,fen,branchs,steps,moves
兵老马疲.xqf,兵仕,马卒士象全,1nb1kabP1/4a4/9/9/9/9/9/9/7p1/4KA3 w,1,7,e0d0 h1g1 d0d1 g1f1 f0e1 e8f7 e1d0
单骑擒王 红先胜.xqf,单马,单士,5k3/9/5a3/9/3N5/9/9/9/9/4K4 w,1,7,d5f6 f9f8 e0e1 f8f9 f6h5 f9f8 h5g7
孙中山先生与人对弈残局.XQF,马双炮,车卒双士,4ka3/6C2/5a1N1/9/9/8C/9/9/1r2p4/3K5 w,1,7,i4i9 e9e8 h7f8 e8e7 i9i7 f7e8 g8g7
寸土必争 红先胜.xqf,马炮兵,车双卒士,4k3C/4a4/5P2N/9/9/9/9/9/2r1p4/3K1p3 w,1,7,i7h9 e8f9 h9g7 e9e8 f7e7 e8d8 g7f9
投石断流 红先胜.xqf,车炮兵,三卒双象,6b2/3P5/4bk3/9/9/9/9/9/3p1p3/2p1K2RC w,1,7,h0h7 f7f8 d8e8 f8e8 h7h8 e8e9 i0i9
穷追不舍 红先胜.xqf,马炮兵双仕,车卒士,4k3C/4a4/5P2N/9/9/9/9/3A5/1r2A1p2/5K3 w,1,7,i7h9 e8f9 h9g7 e9e8 f7e7 e8d8 g7f9
虎穴取宝 红先胜.xqf,车马炮,双车马士,3k5/9/3a5/3rRNC2/9/9/9/2n6/6r2/4K4 w,1,7,e6e9 d9d8 e9d9 d8d9 g6d6 d7e8 f6d7
轰轰烈烈 红先胜.xqf,双车马炮双仕,车炮双卒士象全,4kab2/4a4/4bc3/9/9/R1N6/9/R2C1A3/3p1p1r1/3AK4 w,1,7,a4a9 e8d9 a9d9 e9d9 c4d6 d9e9 a2a9
针针见血 红先胜.xqf,车马炮,双车马双士,3a5/4ak3/4r1nRN/9/9/8C/9/9/4r4/3K5 w,1,7,i7h9 g7h9 h7h8 f8f9 i4i9 h9f8 h8h9
一鸣惊人 红先胜.xqf,车马兵相,车卒双士,3a1k1N1/4a4/9/4P1R2/9/9/9/4B4/r2p5/4K4 w,1,9,g6g9 f9f8 g9d9 f8f7 d9d1 a1d1 e2c4 d1f1 e6e7
不畏强暴 红先胜.xqf,车炮兵,车双卒双士象,3a5/3Pak3/4b4/9/7C1/7R1/9/9/4p1r2/1p1K5 w,1,9,h4f4 e8f7 h5f5 f7e8 f5e5 e8f7 d8e8 d9e8 e5f5
丹桂飘香 红先胜.xqf,马双兵,单车,7r1/5k3/7P1/5P2N/9/9/9/9/9/4K4 w,1,9,f6f7 f8f7 h7g7 f7f8 g7g8 f8f9 i6h8 h9i9 h8g6
兵贵神速 红先胜.xqf,单兵,单士,4ka3/9/9/5P3/9/9/9/9/9/3K5 w,1,9,f6f7 f9e8 f7f8 e8f7 d0d1 f7e8 d1e1 e9d9 f8e8
惊天动地 红先胜.xqf,双车马炮,双车卒士象,4k4/3Ra4/1N2b4/9/C8/9/3p5/4R3r/4K4/6r2 w,1,9,d8e8 e9e8 e2e7 e8f8 e7f7 f8f7 b7d8 f7f8 a5a8
春催桃李 红先生.xqf,单车,双卒双士,3ak4/4a4/9/9/9/7R1/3pp4/9/9/4K4 w,1,9,h4d4 e9f9 d4f4 f9e9 e0f0 d3c3 f4h4 e8f9 h4e4
生死博斗 红先胜.xqf,双车兵,车炮双卒士,R4a3/2rc5/5k3/3P5/1R7/9/9/5p3/4p4/5K3 w,1,9,b5f5 f7e7 a9e9 f9e8 d6e6 e7d7 f5f7 e8f7 e9e7
精兵强将 红先胜.xqf,炮兵仕,双车双士象,3a4r/4ar3/3k1P2b/9/9/9/9/9/4AC3/4K4 w,1,9,e1d2 d7d8 f7f8 i9i8 f1d1 e8d7 f8e8 i8e8 d2e1
脱网逢钩 红先胜.xqf,双车马炮双相,车马双炮双卒士象全,C1ba1kb2/4a3R/9/4p1N2/9/9/2r1c4/4B4/3Rnp3/c2K2B2 w,1,9,i8f8 f9e9 f8e8 e9e8 d1d8 e8e9 d8d9 e9e8 d9e9
艺高胆大 红先胜.xqf,车双炮兵,车炮双卒士,4k1C2/5P3/5a3/9/9/7R1/9/7C1/3rp1p2/1c3K3 w,1,9,h4e4 e9d9 e4e9 d9d8 h2h8 f7e8 e9d9 d8d9 f8f9
运兵取胜.XQF,炮兵,马双象,2b2k3/4Pn3/b8/7C1/9/9/9/9/9/5K3 w,2,9,e8d8 a7c5 d8d9 c5e7 h6b6 e7c5 b6b9 c5e7 d9c9|e8d8 f9e9 h6b6 f8d9 f0f1
风卷残云.xqf,双炮仕,炮双士,3aka3/9/9/9/C8/c8/9/4C4/4A4/4K4 w,1,9,a5e5 a4e4 e5e8 d9e8 e0d0 e4e5 e2e3 e5e7 e3e5
一步之差 红先胜.xqf,炮双兵,马双卒双士,4k4/3P1P3/3a1a3/8C/9/9/4p4/2p2n3/9/3K5 w,1,11,i6f6 f7e8 f6e6 e8f7 d8e8 e9d9 f8f9 f7e8 f9e9 d9d8 e6d6
云开雾散 红先胜.xqf,双车炮相,双车,4k4/C8/9/9/3R5/8r/1r7/3RB4/9/3K5 w,1,11,d5d9 e9e8 d9d8 e8e9 d8b8 b3b0 b8b0 i4i0 d0d1 i0b0 d2d4
十二阑干.XQF,双车马,炮双卒士象全,3a1k3/4a4/8b/7RN/6b1R/9/9/9/1c2p4/1p1K5 w,1,11,h6h9 i7g9 i6h8 f9e9 h9g9 e8f9 h8f7 e9e8 i5i8 e8e7 i8c8
双马饮泉.XQF,双马兵双仕,马炮卒士象全,4kab2/1N1Pa4/4b4/3N5/9/9/8n/9/4Ap3/3AK3c w,1,11,b8d7 i3h1 d8d9 e9d9 d7b8 d9e9 d6c8 e9d9 c8e7 d9e9 e7g8
循序渐进 红先胜.xqf,马炮兵,双马士,3P2C2/5kn2/5aN2/9/9/9/9/9/4K4/n8 w,1,11,g9i9 f7e8 i9i8 f8f7 g7f5 g8f6 f5h6 f7f8 h6g8 f8f7 g8f6
日暮途穷 红先胜.xqf,马兵相,单卒,3k1P3/9/9/4N4/9/2p6/9/8B/9/4K4 w,1,11,i2g4 c4c3 g4i2 c3c2 e6d4 c2d2 d4c6 d2e2 i2g0 e2e1 e0e1
穿针引线 红先胜.xqf,车马炮,双炮多卒士双象,1cca1kb2/1R4N2/4b4/9/5C3/9/9/9/2p1pp1p1/3K5 w,1,11,b8f8 f9e9 f8c8 e9f9 g8f6 f9e9 f5e5 e9f9 c8f8 f9f8 e5f5
老谋深虑 红先胜.xqf,车马炮兵,车双卒双士,3ak4/3NaRP2/9/9/9/9/9/9/1r1p1p2C/4K4 w,1,11,f8f9 e9f9 g8g9 f9f8 d8e6 f8f7 e6g5 f7f8 g5h7 f8f7 i1i7
舍生取义 红先胜.xqf,炮双兵相,三卒,4k4/3P1P3/9/9/9/4C1B2/9/9/3p1p3/4K2p1 w,1,11,g4i2 h0i0 e4e2 i0h0 e2e1 h0i0 i2g4 i0h0 g4e2 d1e1 e0d0
蛟龙戏水 红先胜.xqf,双车兵,双车炮双卒象,3k1r3/1R2c4/2R1b4/9/3P5/9/9/4p4/1rp6/3K5 w,1,11,b8d8 d9d8 c7d7 d8d7 d5d6 d7d8 d6d7 d8d9 d7d8 d9e9 d8d9
连中三元 红先胜.xqf,双炮兵相,车卒,9/9/3k2C2/2P6/9/9/1p7/4K3B/9/5C2r w,1,11,c6d6 d7d8 i2g0 i0g0 g7g1 g0g1 f0d0 g1d1 d6d7 d8d9 d7d8
长亭短亭 红先胜.xqf,双炮双兵双仕,双炮双卒双士,4ka3/3Pa1c2/4c4/p8/9/9/P8/4C4/3pA1C2/4KA3 w,1,11,g1g2 g8g6 e2e4 a6a5 g2g3 g6g8 g3g5 e7e6 g5g6 g8g7 e4e5
陶情弈趣_排局探讨04--妙峰山景.XQF,车双马炮双兵,多卒双士,N7C/4a1P2/3a1k3/3P5/9/3NR4/9/3p5/2p1pp3/3K5 w,1,11,e4e7 f7e7 d6e6 e7f7 e6e7 f7e7 d4c6 e7f7 c6e5 f7e7 a9c8
骏马奔腾 红先胜.xqf,双马兵相,车双卒士象全,4kab2/3Pa4/4b4/1N1N5/9/9/9/4B4/2ppr4/5K3 w,1,11,b6d7 e1e2 d8d9 e9d9 d7b8 d9e9 d6c8 e9d9 c8e7 d9e9 e7g8
二道成仙 红先胜.xqf,双车马双兵仕,双车马卒士象全,2b1k1PP1/4a1R2/4baN2/9/8r/2R6/9/3p5/2nr5/3AK4 w,1,13,g9f9 e9f9 h9g9 f9e9 g9f9 e9f9 c4c9 e7c9 g8g9 f9f8 g9f9 e8f9 g7h9
出奇制胜 红先胜.xqf,马兵仕,卒双士,9/1P1ka1N2/3a5/9/9/9/5p3/9/9/4KA3 w,1,13,b8c8 d8d9 c8c9 d9d8 g8h6 f3f2 h6g4 f2e2 g4e5 e8f7 e5c6 d8e8 c6d4
危如垒卵 红先胜.xqf,双马炮,多卒,4k4/5N3/9/6N2/9/9/1C7/5p3/4p1p2/5K1p1 w,1,13,f8d7 e9e8 d7c9 e8d8 c9b7 d8e8 b7d6 e8e9 d6c8 e9d9 g6f8 d9d8 b3b8
天马行空 红先胜.xqf,双马,双马,2N2n3/3kN4/5n3/9/9/9/9/9/9/4K4 w,1,13,c9b7 d8d9 e8c7 d9d8 c7b9 d8d9 b7d8 f9h8 d8c6 f7d6 b9c7 d9d8 c7e8
奋不顾身 红先胜.xqf,双车炮,车马炮双卒士象全,2bak3C/4a4/4c3b/9/9/1r3n3/9/6RR1/3p1p3/4K4 w,1,13,h2h9 e8f9 h9h8 f9e8 g2g9 e8f9 g9g8 f9e8 h8h9 e8f9 g8e8 d9e8 h9h8
帅的妙用.XQF,炮三兵,三卒双士,3a5/PP1ka1P2/3C5/9/9/9/9/9/2p2pp2/4K4 w,3,13,e0d0 e8f7 g8f8 d9e8 b8c8 d8d9 c8c9 d9e9 d7b7 f1e1 b7b9 e8d9 c9d9|e0d0 e8f7 g8f8 d9e8 b8c8 d8d9 c8c9 d9d8 a8b8 f1e1 b8c8|e0d0 e8d7 g8f8 d9e8 b8c8 d8d9 f8e8
曹营探信 红先胜.xqf,双炮,炮双士,3a1k3/5c3/3a5/9/9/9/9/2C6/4CK3/9 w,1,13,c2c8 f9e9 f1f2 f8f7 c8c0 e9e8 c0e0 e8f8 e1f1 d9e8 f2e2 f7h7 e0f0
稳扎稳打 红先胜.xqf,马炮双兵仕相,马炮士象全,2bak4/2P1a4/4b1P2/9/4cNn2/5CB2/9/9/4A4/5K3 w,1,13,g7g8 e8f7 g8f8 g5h7 f5g7 f7e8 c8d8 e5d5 f4e4 d5e5 e4e7 e8f7 f8e8
童子拜佛 红先胜.xqf,双车兵,双车士,5k3/8P/4ra3/5R3/4r4/7R1/9/9/9/5K3 w,1,13,h4h9 f9f8 h9h8 f8f9 h8e8 e5e0 f0f1 e0e5 i8h8 e5e4 h8g8 e4e5 g8f8
腊梅傲雪 红先胜.xqf,双炮,车马双卒,5k3/7C1/9/6p2/9/5r3/9/9/2p2n3/4KC3 w,1,13,h8h1 c1c0 e0e1 g6g5 h1h0 g5g4 h0c0 g4g3 c0c1 g3f3 c1f1 f3f2 f0f2
芙蓉出浴 红先胜.xqf,车马,车卒士,5k3/4a1R2/9/9/6N2/9/9/9/2r1p4/3K5 w,1,13,g8g9 f9f8 g5h7 f8f7 g9g7 f7f8 g7g5 f8f7 h7g9 f7e7 g5g7 e8f7 g7f7
虎口脱险 红先胜.xqf,车马炮兵,车三卒双象,2b1k4/2P6/b8/4p1N2/9/1C1R5/9/9/2r1p1p2/5K3 w,1,13,d4d9 e9d9 g6f8 d9e9 f8d7 e9e8 d7f6 e8e7 f6g8 e7d7 g8e9 d7e7 b4e4
轻车熟路 红先胜.xqf,双车炮兵,双车卒双士象,6b2/3ka4/3a5/2P6/1r7/9/6r2/2R1R2C1/5p3/4K4 w,1,13,e2e8 d7e8 c2d2 e8d7 d2d7 d8d7 c6d6 d7d8 h2d2 b5d5 d6d7 d8d9 d7d8
云开日出 红先胜.xqf,车双兵,马三卒士象,4k2P1/9/3aP4/9/2b6/9/6p2/4R1n2/3p1p3/4K4 w,1,14,e7d7 g2e3 d7d8 c5e7 h9g9 f1e1 e0f0 e3g2 e2g2 e1e0 f0f1 d1e1 f1e1 g3g2
双车遭困.XQF,双炮兵,双车双士象,1r1aka3/1C2r4/P3b4/4C4/9/9/9/9/9/3K5 w,2,15,a7b7 b9c9 b8a8 c9b9 b7c7 b9a9 a8b8 a9c9 c7d7 c9b9 b8c8 b9c9 c8c7 c9c7 d7c7|a7b7 b9c9 b8a8 c9c6 a8a9 c6c9 a9a7
双马盘巢 红先胜.xqf,双马,士象全,3k1ab2/4a4/4b4/1N4N2/9/9/9/9/4K4/9 w,1,15,b6c8 d9d8 g6e5 e8d9 c8d6 d9e8 e5c6 d8d9 c6b8 d9e9 d6c8 e9d9 c8e7 d9e9 e7g8
委曲求全 红先胜.xqf,单车,士象全,2bak4/4a4/b8/9/9/2R6/9/9/4K4/9 w,1,15,c4c7 e9f9 c7h7 f9f8 h7h5 f8f9 h5f5 f9e9 f5e5 e9f9 e1e2 f9e9 e2f2 c9e7 e5e7
拼命三郎 红先胜.xqf,车双炮相,车炮卒双士,3aka3/C8/3c5/9/9/1RC6/9/3rB4/4p4/5K3 w,1,15,c4c9 e9e8 b4b8 e8e7 a8a7 d7d8 b8b7 e7e8 b7d7 d2c2 a7a8 c2c8 d7d8 e8e7 d8c8
有苦难言 红先胜.xqf,马兵,炮三卒双士象,2ba5/4ak3/6PN1/9/9/8p/9/c8/p4p3/4K4 w,1,15,g7g8 f8f9 g8g9 f9e9 h7f6 a2a8 f6d7 a8d8 d7b6 a1b1 b6c8 b1c1 c8d6 c1d1 d6f7
棋高一筹(一) 红先胜.xqf,马炮双兵,车炮卒,4k4/3PC1P2/1N7/9/9/9/9/5K3/3pc3r/9 w,1,15,g8f8 e1f1 e8e2 f1f8 b7c9 e9f9 d8e8 i1i7 e2b2 i7f7 f2e2 f7e7 e2f2 e7e8 c9e8
泥马渡康王2.XQF,单马,马炮三卒士象全,2baka3/c3n4/b8/5N3/9/p8/9/9/2p3p2/4K4 w,1,15,f6d7 a8d8 e0e1 a7c5 d7c5 a4b4 e1e2 b4c4 c5b7 d8d7 b7c9 d7d8 c9b7 c4d4 b7d6
皇宫称霸 红先胜.xqf,马三兵,车马,2n1k4/3P2r2/4PP3/9/7N1/9/9/9/4K4/9 w,1,15,e7e8 c9e8 h5g7 g8i8 f7f8 i8f8 d8e8 f8e8 g7e8 e9d9 e8c7 d9d8 c7b9 d8d9 e1e0
短兵相接.XQF,三兵相,三卒象,4k4/1P3P3/b8/9/4P4/4p4/9/8B/1p3p3/4K4 w,3,15,e5e6 a7c5 e6d6 e4e3 i2g4 b1c1 d6d7 c1d1 d7d8 c5a7 b8c8 a7c5 d8e8 e9d9 c8d8|e5e6 a7c5 e6d6 e4e3 d6d7 e3e2 d7d8 f1e1 e0f0 e2f2|b8c8 b1c1 c8d8 c1d1 e5e6 a7c5 i2g4 e4e3 e6f6 f1e1 e0f0 d1d0
