name,type_red,type_black,fen,branchs,steps,moves
实战杀局欣赏D3.XQF,双车马双炮三兵仕相全,双车双马炮双卒士象全,3akab2/4n4/1c2b4/p3P2Rp/n8/5RP2/r2r4P/3CB1NC1/4A4/2BAK4 w,2,9,e6e7 e8g7 e7f7 g7i8 h6e6 d9e8 f7f8 b7b9 e6e8|e6e7 g9e7 h6f6 e8g7 h2h9 g7h9 f6f9
实战杀局欣赏D8.XQF,双车双马炮三兵仕相全,双车双马炮三卒士象全,3nkab2/4a4/1c2b2r1/p2R4p/3Nr1p2/1CP6/P7P/2N1B4/4An3/3RKAB2 w,1,9,b4b5 e5e2 c2d4 e2e3 d4f5 e3f3 d5f6 h7h9 b5e5
实战杀局欣赏E4.XQF,双车马双炮双兵双仕相,双车马双炮三卒双士象,3k1ab2/4a4/2C6/C7p/2N1p1p2/9/P3c3P/4B1c2/3rARn2/1R2KAr2 w,1,9,b0b9 d9d8 c7d7 e8d7 c5b7 d8e8 b7c9 e8e9 a6a9
横线控制 纵线钳杀(2).xqf,双车双炮多兵仕相全,车双马双炮卒士象全,2b1ka3/4aP3/4b1c2/p1R5C/1n4r2/P2R3C1/2P1c3P/2n1B4/4A4/4KAB2 w,1,9,h4h9 g7g9 f8f9 e8f9 d4d9 e9d9 c6d6 d9e9 i6e6
第200局 宗永生先负邬正伟.xqf,双兵双仕,车双士象,3akab2/9/9/9/4PP3/9/r8/9/4A4/4KA3 b,1,9,a3f3 e0d0 g9i7 d0e0 e9e8 e0d0 f3d3 d0e0 e8d8
阻击纵横 合闷钳杀.xqf,车马双炮三兵仕相全,车双马双炮三卒士象全,C3kab2/2C1a4/b1n4c1/1N2R3p/2p3p2/P8/2P1n2rP/4B4/4A4/2BAK3c w,1,9,c8c9 c7b9 b6d7 e9d9 d7b8 d9e9 c9c7 b9d8 a9d9
露将横阻 闷攻纵杀(6).xqf,双车马双炮三兵仕相全,双车马双炮三卒士象全,3a1kb2/1N2a2R1/4b3c/p8/2p1Cnp2/1R7/Pcr1P1P2/4B2C1/6r2/2BAKA3 w,1,9,h8f8 f9f8 b8d9 e8d9 b4b8 d9e8 b8e8 f8f7 h2f2
单阻二线 闷攻横杀(2).xqf,双车马双炮双兵仕相全,双车马双炮双卒士象全,3akab2/C4N3/4b4/3RP2rp/6p2/2P2R3/4c1n2/1C2B4/r3A4/1cBAK4 w,1,10,f8d7 e9e8 d7b8 a1a8 f4f8 e8f8 d6d8 f9e8 b8d9 f8f7
第199局附录 马双象守和单车.xqf,单车,马双象,4k4/9/4n3b/9/6b2/9/1R7/9/9/4K4 w,1,10,b3b9 e9e8 b9d9 e8f8 d9e9 e7c6 e9e6 c6e7 e6e5 f8f9
56局-实战杀局欣赏.xqf,双车马双炮三兵双仕相,双车双马双炮三卒双士象,3akab2/9/4c1n2/p1p1nR2p/4r4/2P6/P4RN1P/1Cc3C2/4AK3/2BA3r1 w,3,11,f6f9 g7f9 g2g9 f9g7 f3f9 e9e8 f9f8 e8e9 b2b9 d9e8 f8f9|g2g7 c2c1 e1d2 e5e1 f1f2 h0f0|g2g7 c2c1 f1f2 e5e2 c0e2 h0h2
73局-实战杀局欣赏.xqf,车马兵双仕相,车双卒双士,4ka3/4a4/9/3P3N1/1R7/5r3/9/9/4Ap3/2B1KAp2 w,2,11,h6g8 f4f8 d6d7 e8d9 d7d8 f9e8 d8e8 d9e8 b5b9 e8d9 e0d0|h6g8 e9d9 b5b9 d9d8 g8e7
77局-实战杀局欣赏.xqf,双车马双炮兵仕相全,双车双马炮双卒士象全,3aka3/9/b3c3b/p2R5/3n2p2/8r/P3r1n2/3CB1C2/N3A4/2BAKR3 b,3,11,d5f4 d6f6 g5g4 e2g4 e3e1 e0e1 g3e2 e1f1 i4i1 f1f2 e7f7|d5f4 d6f6 g5g4 e2g4 e3e1 e0e1 g3e2 f6e6 f4e6 c0e2 e6f4|d5f4 d6f6 g5g4 g2g4 g3e2 f6f4 e2g1 f4f1 i4g4 d2e2
91局-实战杀局欣赏.xqf,双马炮双兵仕相全,双马炮三卒双士象,3a1a3/C3k4/1N2b1n2/3c4p/1n1Np4/3p2B2/2P5P/9/4A4/4KAB2 w,1,11,d5b6 e8e9 b6d7 e9e8 b7d8 e8e9 d8f7 e9e8 d7b8 d6d8 b8d7
92局-实战杀局欣赏.xqf,车双马双炮三兵仕相全,双车马炮双卒士双象,4k1b2/3Ra4/4bc3/C1r5p/9/1N2Cnp2/P3P3P/4B4/4N2r1/3AKAB2 b,1,11,h1f1 e1c2 f1f0 e0e1 f0f1 e1e0 f4g2 d0e1 c6f6 e0d0 f1e1
95局-实战杀局欣赏.xqf,双车马双炮双兵仕相全,双车马双炮三卒士象全,1r2kabR1/2c1a3c/4b4/p3R1N1p/5np2/9/P1r5P/B2CC4/4A4/3AK1B2 w,1,11,e6f6 f5d4 f6f9 e9f9 g6e7 c8c7 e7g6 c7g7 h9g9 f9f8 g9g7
96局-实战杀局欣赏.xqf,双车马双炮三兵仕相全,双车马双炮三卒双士象,1n1ak2r1/4a2C1/4bc2c/p1P3R2/4p1p2/9/P5r1P/C3B1N2/4A4/2BAK2R1 w,1,11,i3i4 e5e4 i4i5 e4e3 i5i6 i7i9 i6i7 e3f3 i7i8 f3f2 i8i9
